,version,variable,product_type,experiment,temporal_aggregation,period,ensemble_member,model,lat_resolution,lon_resolution
151,v2-0,wsdiETCCDI,b1961-1990,ssp585,yr,2015-2100,r1i1p1f1,CanESM5,2.7672718509152787,2.8125
152,v2-0,csdiETCCDI,b1961-1990,historical,yr,1850-2014,r1i1p1f2,CNRM-CM6-1,1.3890301392673479,1.40625
153,v2-0,csdiETCCDI,b1961-1990,ssp126,yr,2015-2100,r1i1p1f2,CNRM-CM6-1,1.3890301392673479,1.40625
154,v2-0,csdiETCCDI,b1961-1990,ssp245,yr,2015-2100,r1i1p1f2,CNRM-CM6-1,1.3890301392673479,1.40625
155,v2-0,csdiETCCDI,b1961-1990,ssp370,yr,2015-2100,r1i1p1f2,CNRM-CM6-1,1.3890301392673479,1.40625
156,v2-0,csdiETCCDI,b1961-1990,ssp585,yr,2015-2100,r1i1p1f2,CNRM-CM6-1,1.3890301392673479,1.40625
157,v2-0,r95pETCCDI,b1961-1990,historical,yr,1850-2014,r1i1p1f2,CNRM-CM6-1,1.3890301392673479,1.40625
158,v2-0,r95pETCCDI,b1961-1990,ssp126,yr,2015-2100,r1i1p1f2,CNRM-CM6-1,1.3890301392673479,1.40625
159,v2-0,r95pETCCDI,b1961-1990,ssp245,yr,2015-2100,r1i1p1f2,CNRM-CM6-1,1.3890301392673479,1.40625
160,v2-0,r95pETCCDI,b1961-1990,ssp370,yr,2015-2100,r1i1p1f2,CNRM-CM6-1,1.3890301392673479,1.40625
161,v2-0,r95pETCCDI,b1961-1990,ssp585,yr,2015-2100,r1i1p1f2,CNRM-CM6-1,1.3890301392673479,1.40625
162,v2-0,r99pETCCDI,b1961-1990,historical,yr,1850-2014,r1i1p1f2,CNRM-CM6-1,1.3890301392673479,1.40625
163,v2-0,r99pETCCDI,b1961-1990,ssp126,yr,2015-2100,r1i1p1f2,CNRM-CM6-1,1.3890301392673479,1.40625
164,v2-0,r99pETCCDI,b1961-1990,ssp245,yr,2015-2100,r1i1p1f2,CNRM-CM6-1,1.3890301392673479,1.40625
165,v2-0,r99pETCCDI,b1961-1990,ssp370,yr,2015-2100,r1i1p1f2,CNRM-CM6-1,1.3890301392673479,1.40625
166,v2-0,r99pETCCDI,b1961-1990,ssp585,yr,2015-2100,r1i1p1f2,CNRM-CM6-1,1.3890301392673479,1.40625
167,v2-0,tn10pETCCDI,b1961-1990,historical,yr,1850-2014,r1i1p1f2,CNRM-CM6-1,1.3890301392673479,1.40625
168,v2-0,tn10pETCCDI,b1961-1990,ssp126,yr,2015-2100,r1i1p1f2,CNRM-CM6-1,1.3890301392673479,1.40625
169,v2-0,tn10pETCCDI,b1961-1990,ssp245,yr,2015-2100,r1i1p1f2,CNRM-CM6-1,1.3890301392673479,1.40625
170,v2-0,tn10pETCCDI,b1961-1990,ssp370,yr,2015-2100,r1i1p1f2,CNRM-CM6-1,1.3890301392673479,1.40625
171,v2-0,tn10pETCCDI,b1961-1990,ssp585,yr,2015-2100,r1i1p1f2,CNRM-CM6-1,1.3890301392673479,1.40625
172,v2-0,tn90pETCCDI,b1961-1990,historical,yr,1850-2014,r1i1p1f2,CNRM-CM6-1,1.3890301392673479,1.40625
173,v2-0,tn90pETCCDI,b1961-1990,ssp126,yr,2015-2100,r1i1p1f2,CNRM-CM6-1,1.3890301392673479,1.40625
174,v2-0,tn90pETCCDI,b1961-1990,ssp245,yr,2015-2100,r1i1p1f2,CNRM-CM6-1,1.3890301392673479,1.40625
175,v2-0,tn90pETCCDI,b1961-1990,ssp370,yr,2015-2100,r1i1p1f2,CNRM-CM6-1,1.3890301392673479,1.40625
176,v2-0,tn90pETCCDI,b1961-1990,ssp585,yr,2015-2100,r1i1p1f2,CNRM-CM6-1,1.3890301392673479,1.40625
177,v2-0,tx10pETCCDI,b1961-1990,historical,yr,1850-2014,r1i1p1f2,CNRM-CM6-1,1.3890301392673479,1.40625
178,v2-0,tx10pETCCDI,b1961-1990,ssp126,yr,2015-2100,r1i1p1f2,CNRM-CM6-1,1.3890301392673479,1.40625
179,v2-0,tx10pETCCDI,b1961-1990,ssp245,yr,2015-2100,r1i1p1f2,CNRM-CM6-1,1.3890301392673479,1.40625
180,v2-0,tx10pETCCDI,b1961-1990,ssp370,yr,2015-2100,r1i1p1f2,CNRM-CM6-1,1.3890301392673479,1.40625
181,v2-0,tx10pETCCDI,b1961-1990,ssp585,yr,2015-2100,r1i1p1f2,CNRM-CM6-1,1.3890301392673479,1.40625
182,v2-0,tx90pETCCDI,b1961-1990,historical,yr,1850-2014,r1i1p1f2,CNRM-CM6-1,1.3890301392673479,1.40625
183,v2-0,tx90pETCCDI,b1961-1990,ssp126,yr,2015-2100,r1i1p1f2,CNRM-CM6-1,1.3890301392673479,1.40625
184,v2-0,tx90pETCCDI,b1961-1990,ssp245,yr,2015-2100,r1i1p1f2,CNRM-CM6-1,1.3890301392673479,1.40625
185,v2-0,tx90pETCCDI,b1961-1990,ssp370,yr,2015-2100,r1i1p1f2,CNRM-CM6-1,1.3890301392673479,1.40625
